Nombre,,Unidad,Responsable,Categoría,Precio
105,,,,,
Dorayaki Chocolate 60g x 5,,Bolsa,Flor,,
Ebi fry Langostino Torpedo 40pzs 1kg,,Caja,Flor,,
"Edamame pelado ""Hanabi"" 500 gr",,Caja,Flor,,
"Ensalada wakame ""Hanabi"" 1kg",,Caja,Flor,,
Escolar negro filete 1 kg,,Bolsa,Flor,,
Gyoza Catsu curry,,Bolsa,Flor,,
Gyoza cerdo,,Bolsa,Flor,,
Gyozas de langostinos,,Bolsa,Flor,,
Gyoza ternera,,Bolsa,Flor,,
"Gyozas de pollo ""Hamamatsu""",,Bolsa,Flor,,
"Gyozas vegetales ""Hamamatsu""",,Bolsa,Flor,,
"Mochicream ""Mango"" 40g x 6",,Paquete,Flor,,
"Mochicream ""Té verde"" 40g x 6",,Paquete,Flor,,
Palitos de surimi 1kg,,Paquete,Flor,,
Tobiko,,Paquete,Flor,,
Argal,,,,,
Bacon,,Unidad,Jazmín,,
Jamón serrano,,Kilos,Jazmín,,
Jamón York,,Unidad,Jazmín,,
Pavo,,Unidad,Jazmín,,
Salchichas frankfurt,,Caja,Jazmín,,
Brillante,,,,,
Servilletas 20x20,,Caja,Jhoan,,
Servilletas canguro,,Caja,Jhoan,,
Servilletas mini tissue,,Caja,Jhoan,,
Cerroliva,,,,,
Aceite alto oleico,,Bidón,Aaron,,
Aceite girasol,,Bidón,Aaron,,
Aceite oliva 5L,,Bidón,Aaron,,
Aceite oliva monodosis,,Bidón,Aaron,,
Chinos,,,,,
Cubos grandes,,Unidad,Aaron,Almacenaje,
Tupper 3 L,,Paquete,Aaron,Almacenaje,
Tupper 5 L,,Paquete,Aaron,Almacenaje,
Tupper grande blanco ,,Paquete,Aaron,Almacenaje,
Copas 20 cl,,Caja,Jhoan,Cristalería,
Vasos café ,,Caja,Jhoan,Cristalería,
Vasos de colacao ,,Caja,Jhoan,Cristalería,
Vasos de zumitos 11cl,,Caja,Jhoan,Cristalería,
Vasos tubo 31cl,,Paquete,Jhoan,Cristalería,
Bolsa basura comunidad,,Paquete,Jhoan,Desechables,
Bolsa basura pequeña 52x58,,Caja,Jhoan,Desechables,
Bolsa camiseta 35x50,,Paquete,Aaron,Desechables,
Bolsa monedas pequeña,,Paquete,Jhoan,Desechables,
Brocheta hamburguesa 15cm,,Paquete,Aaron,Desechables,
Brocheta sándwich club,,Paquete,Aaron,Desechables,
Pajitas batido ,,Paquete ,Aaron,Desechables,
Pajitas refresco,,Caja,Jhoan,Desechables,
Palillos dientes,,Unidad ,Jhoan,Desechables,
Tenedores plástico ,,Paquete,Jhoan,Desechables,
Bombona gas mini,,Unidad,Aaron,Gas,
Ambientador baños,,Unidad,Jhoan,Limpieza,
Bayetas blancas tenedores ,,Paquete,Aaron,Limpieza,
Bayetas colores,,Paquete,Jhoan,Limpieza,
Cepillos,,Caja,Jhoan,Limpieza,
Cubo fregona,,Unidad,Jhoan,Limpieza,
Desengrasante ,,Caja,Jhoan,Limpieza,
Estropajo esponja,,Paquete,Jhoan,Limpieza,
Estropajos de alambre (nanas),,Unidad,Aaron,Limpieza,
Fregonas,,Caja,Jhoan,Limpieza,
Guantes talla M,,Paquete,Aaron,Limpieza,
Guantes talla S,,Paquete,Aaron,Limpieza,
Jabón lavavajillas,,Unidad,Jhoan,Limpieza,
Jabón manos,,Unidad,Jhoan,Limpieza,
Lejía normal 2L,,Caja,Jhoan,Limpieza,
Limpiacristales,,Caja,Jhoan,Limpieza,
Palos escoba,,Paquete,Jhoan,Limpieza,
Palos recogedor,,Unidad,Jhoan,Limpieza,
Papel film,,Unidad,Aaron,Limpieza,
Papel mecha,,Paquete,Jhoan,Limpieza,
Papel higiénico,,Paquete,Jhoan,Limpieza,
Recogedores ,,Unidad,Jhoan,Limpieza,
Bandeja plástico grande,,Unidad,Aaron,Menaje,
Biberón 750,,Unidad,Aaron,Menaje,
Bol grande cristal,,Unidad,Aaron,Menaje,
Cuencos aceitunas vega,,Caja,Jhoan,Menaje,
Pedestal para cruasanes ,,Unidad,Aaron,Menaje,
Platillo cambio,,Paquete,Jhoan,Menaje,
Carpeta anillas (facturas),,Unidad,Jhoan,Oficina,
Cinta adhesiva,,Paquete,Jhoan,Oficina,
Huchas medianas,,Unidad,Jhoan,Oficina,
Rollo impresora térmico 80x80x12,,Paquete,Jhoan,Oficina,
Rotulador permanente ,,Caja,Aaron,Oficina,
Matarratas pegamento,,Unidad,Jhoan,Plagas,
Abridores ,,Unidad,Jhoan,Utensilios,
Cucharillas  pequeñas ,,Caja,Jhoan,Utensilios,
Cuchillos sierra,,Caja,Jhoan,Utensilios,
Cuchillos untar ,,Caja,Jhoan,Utensilios,
Pinzas hielo,,Unidad,Jhoan,Utensilios,
Sacacorchos vino ,,Caja,Jhoan,Utensilios,
Tenedores grandes,,Caja,Jhoan,Utensilios,
Tenedores pequeños,,Caja,Jhoan,Utensilios,
Tijeras grandes ( cocina ),,Unidad,Aaron,Utensilios,
Comimport,,,,,
Alga de sushi,,Unidad,Aaron,Algas,
Alga nori en polvo,,Bolsa,Aaron,Algas,
Caja alga nori,,Unidad,Aaron,Algas,
"Yakinori ""Hanabi"" 10 Hojas",,Paquete,Aaron,Algas,
"Yakinori ""Super A"" 50 hojas",,Paquete,Aaron,Algas,
"Arroz ""Hanabi"" 1 Kg.",,Unidad,Aaron,Arroz,
Arroz Shinjumai calrose 20kg,,Saco,Aaron,Arroz,
Cerveza Asahi 330 ml ,,Caja,Aaron,Bebidas,
Cerveza Kirin free 330 ml ,,Caja,Aaron,Bebidas,
Cerveza Kirin Ichiban 330 ml ,,Caja,Aaron,Bebidas,
Ramune Melón 200ml,,Unidad,Aaron,Bebidas,
Ramune original 200ml,,Unidad,Aaron,Bebidas,
"Curry golden Karakuchi ""S&B"" 220g",,Paquete,Aaron,Curry,
Shichimi Tougurasi 7 300 gr.,,Unidad,Aaron,Curry,
Tasty curry mix flakes 1 kg,,Bolsa,Aaron,Curry,
Palillos madera funda cerrada,,Paquete,Aaron,Desechables,
Palillos Rykyu 24cm (restaurante),,Unidad,Aaron,Desechables,
Papel Tisusec 2 rollos,,Unidad,Aaron,Desechables,
Dorayaki Chocolate 60g x 5,,Bolsa,Flor,Dulces,
"Mochicream ""Mango"" 40g x 6",,Paquete,Flor,Dulces,
"Mochicream ""Té verde"" 40g x 6",,Paquete,Flor,Dulces,
Ajinomoto 454 gr.,,Bolsa,Aaron,Especias,
"Cebolla frita ""Kiwami"" 1kg",,Bolsa,Aaron,Especias,
Dashi nomoto 1 kg,,Paquete,Aaron,Especias,
"Kimchi ""Wang"" 410 gr",,Unidad,Aaron,Especias,
Mini gari rosa Jengibre 6g x 100p,,Unidad,Aaron,Especias,
Neri wasabi pasta en tubo 43g,,Unidad,Aaron,Especias,
Sésamo al wasabi 100g,,Unidad,Aaron,Especias,
"Wasabi en polvo ""Kiwami""",,Bolsa,Aaron,Especias,
Udon,,Bolsa,Jazmín,Fideos,
"Yakisobra fresco ""Kiwami"" (150gx5)",,Caja,Jazmín,Fideos,
Gyoza Catsu curry,,Bolsa,Flor,Gyoza,
Gyoza cerdo,,Bolsa,Flor,Gyoza,
Gyozas de langostinos,,Bolsa,Flor,Gyoza,
Gyoza ternera,,Bolsa,Flor,Gyoza,
"Gyozas de pollo ""Hamamatsu""",,Bolsa,Flor,Gyoza,
"Gyozas vegetales ""Hamamatsu""",,Bolsa,Flor,Gyoza,
Ebi fry Langostino Torpedo 40pzs 1kg,,Caja,Flor,Pescado,
"Edamame pelado ""Hanabi"" 500 gr",,Caja,Flor,Pescado,
"Ensalada wakame ""Hanabi"" 1kg",,Caja,Flor,Pescado,
Escolar negro filete 1 kg,,Bolsa,Flor,Pescado,
Tobiko,,Paquete,Flor,Pescado,
"Piedra afilar 2 caras ""Naniwa""",,Unidad,Aaron,Piedra,
Sake 20 L,,Unidad,Aaron,Sake,
Sake KAORI 180ML,,Unidad,Aaron,Sake,
"Aceite de sésamo 1,65L",,Lata,Aaron,Salsas,
Aceite de sésamo 450 ml,,Botella,Aaron,Salsas,
"Hon mirin Junryo 12,9% 500ml",,Unidad,Aaron,Salsas,
"Kimuchi no moto ""Momoya"" 450g",,Unidad,Aaron,Salsas,
"Mayonesa japonesa ""QP"" 500 gr",,Tarro,Jazmín,Salsas,
"Mayonesa sin gluten Kewpie 2,4 L",,Unidad,Jazmín,Salsas,
"Mini shoyu ""Shoda"" salsa soja",,200 ud,Aaron,Salsas,
Salsa chile dulce 4 kg,,Garrafa,Aaron,Salsas,
"Salsa Hon Mirin ""Takara"" 1,8 L",,Unidad,Aaron,Salsas,
"Salsa Kimuchi no moto ""Momoya"" 1,2L",,Unidad,Aaron,Salsas,
"Salsa ostras 2,27L",,Unidad,Aaron,Salsas,
Salsa sriracha,,Unidad,Aaron,Salsas,
"Salsa Teriyaki ""Daisho"" 180g",,Unidad,Aaron,Salsas,
"Salsa Tonkatsu ""Bulldog""",,Unidad,Aaron,Salsas,
"Salsa Unagi (Anguila) 2,23 kg",,Unidad,Aaron,Salsas,
"Sriracha verde ""Flying goose"" 455ml",,Unidad,Aaron,Salsas,
Sésamo blanco 1kg,,Unidad,Aaron,Sésamo,
Sésamo blanco tostado 100g,,Unidad,Aaron,Sésamo,
Sésamo negro 1kg,,Unidad,Aaron,Sésamo,
Sésamo negro tostado 91g,,Unidad,Aaron,Sésamo,
Miso,,Bolsa,Jazmín,Soja,
"Salsa de soja ""Shoda"" 150ml",,Unidad,Aaron,Soja,
Salsa soja 18L,,Unidad,Aaron,Soja,
Palitos de surimi 1kg,,Paquete,Flor,Surimi,
Harina tempura 10 kg,,Unidad,Aaron,Tempura,
Panko 1kg,,Bolsas,Aaron,Tempura,
Tofu,,Paquete,Jazmín,Tofu,
"Paté de trufa negra ""Tartufitalia"" 500g",,Unidad,Jazmín,Trufa,
Makisu Esterilla bambú 24 cm,,Unidad,Aaron,Utensilios,
"Pinzas Gin no Tsume III  10,8 cm",,Unidad,Aaron,Utensilios,
Pinzas para pescado Ud.,,Unidad,Aaron,Utensilios,
Wok ( sartén),,Unidad ,Aaron,Utensilios,
Daikon,,Unidad,Jazmín,Verdura,
Vinagre de arroz,,Bidón,Aaron,Vinagre,
"Vinagre de sushi""Otafuku"" 500ml",,Unidad,Aaron,Vinagre,
Coca cola,,,,,
Aquarius limón,,Caja,Amina,,
Aquarius naranja,,Caja,Amina,,
Coca Cola,,Caja,Amina,,
Coca Cola lata,,Caja,Amina,,
Coca Cola light,,Caja,Amina,,
Coca Cola sin cafeína,,Caja,Amina,,
Coca Cola zero,,Caja,Amina,,
Coca Cola zero lata,,Caja,Amina,,
Coca Cola zero zero,,Caja,Amina,,
Fanta limón ,,Caja,Amina,,
Fanta limón lata,,Caja,Amina,,
Fanta naranja,,Caja,Amina,,
Fanta naranja lata,,Caja,Amina,,
Nestea,,Caja,Amina,,
Nestea maracuyá,,Caja,Amina,,
Sprite,,Caja,Amina,,
Día,,,,,
Vermouth rojo,,Botella,Jose,,
Dibece,,,,,
Aceite alto oleico,,Caja,Amina,Aceite,
Aceite oliva,,Caja,Amina,Aceite,
Azúcar,,Caja,Amina,Azúcar,
Azúcar moreno,,Caja,Amina,Azúcar,
Café descafeinado,,Caja,Amina,Café,
Café natural,,Caja,Amina,Café,
"Amstel Oro 0,0 tostada",,Caja,Amina,Cerveza,
